config,StdCellArea,WNS
schnizo_res_stat_synth_NofConstants_8_NofOperands_3_NofResRspIfs_2_ConsumerCount_28,2582.0,-5.578
schnizo_res_stat_synth_NofRsrs_8_NofConstants_8_NofOperands_3_NofResRspIfs_2_ConsumerCount_28,3049.0,-5.593
schnizo_res_stat_synth_NofRss_8_NofRsrs_8_NofConstants_16_NofOperands_3_NofResRspIfs_2_ConsumerCount_56,4103.0,-5.64
schnizo_res_stat_synth_NofRss_8_NofRsrs_16_NofConstants_16_NofOperands_3_NofResRspIfs_2_ConsumerCount_56,5119.0,-5.331
schnizo_res_stat_synth_NofRss_16_NofRsrs_16_NofConstants_32_NofOperands_3_NofResRspIfs_2_ConsumerCount_112,7219.0,-5.323
schnizo_res_stat_synth_NofRss_16_NofRsrs_32_NofConstants_32_NofOperands_3_NofResRspIfs_2_ConsumerCount_112,9167.0,-5.004
schnizo_res_stat_synth_NofRss_32_NofRsrs_32_NofConstants_64_NofOperands_3_NofResRspIfs_2_ConsumerCount_224,13306.0,-6.548
schnizo_res_stat_synth_NofRss_32_NofRsrs_64_NofConstants_64_NofOperands_3_NofResRspIfs_2_ConsumerCount_224,18711.0,-9.899
schnizo_res_stat_synth_NofConstants_8_NofOperands_3_NofResRspIfs_2_ConsumerCount_28_HasTwoDests_True,3005.0,-6.965
schnizo_res_stat_synth_NofRsrs_8_NofConstants_8_NofOperands_3_NofResRspIfs_2_ConsumerCount_28_HasTwoDests_True,4683.0,-10.337
schnizo_res_stat_synth_NofRss_8_NofRsrs_8_NofConstants_16_NofOperands_3_NofResRspIfs_2_ConsumerCount_56_HasTwoDests_True,5269.0,-8.971
schnizo_res_stat_synth_NofRss_8_NofRsrs_16_NofConstants_16_NofOperands_3_NofResRspIfs_2_ConsumerCount_56_HasTwoDests_True,6885.0,-11.204
schnizo_res_stat_synth_NofRss_16_NofRsrs_16_NofConstants_32_NofOperands_3_NofResRspIfs_2_ConsumerCount_112_HasTwoDests_True,9097.0,-9.026
schnizo_res_stat_synth_NofRss_16_NofRsrs_32_NofConstants_32_NofOperands_3_NofResRspIfs_2_ConsumerCount_112_HasTwoDests_True,13961.0,-40962572.0
schnizo_res_stat_synth_NofRss_32_NofRsrs_32_NofConstants_64_NofOperands_3_NofResRspIfs_2_ConsumerCount_224_HasTwoDests_True,18030.0,-26.22
schnizo_res_stat_synth_NofRss_32_NofRsrs_64_NofConstants_64_NofOperands_3_NofResRspIfs_2_ConsumerCount_224_HasTwoDests_True,27029.0,-40969660.0
schnizo_res_stat_synth_NofConstants_8_NofOperands_3_NofResRspIfs_2_ConsumerCount_28_NofResPorts_2,3378.0,-6.558
schnizo_res_stat_synth_NofRsrs_8_NofConstants_8_NofOperands_3_NofResRspIfs_2_ConsumerCount_28_NofResPorts_2,4260.0,-7.339
schnizo_res_stat_synth_NofRss_8_NofRsrs_8_NofConstants_16_NofOperands_3_NofResRspIfs_2_ConsumerCount_56_NofResPorts_2,4839.0,-5.672
schnizo_res_stat_synth_NofRss_8_NofRsrs_16_NofConstants_16_NofOperands_3_NofResRspIfs_2_ConsumerCount_56_NofResPorts_2,5728.0,-5.608
schnizo_res_stat_synth_NofRss_16_NofRsrs_16_NofConstants_32_NofOperands_3_NofResRspIfs_2_ConsumerCount_112_NofResPorts_2,9069.0,-9.733
schnizo_res_stat_synth_NofRss_16_NofRsrs_32_NofConstants_32_NofOperands_3_NofResRspIfs_2_ConsumerCount_112_NofResPorts_2,10992.0,-8.032
schnizo_res_stat_synth_NofRss_32_NofRsrs_32_NofConstants_64_NofOperands_3_NofResRspIfs_2_ConsumerCount_224_NofResPorts_2,18076.0,-13.281
schnizo_res_stat_synth_NofRss_32_NofRsrs_64_NofConstants_64_NofOperands_3_NofResRspIfs_2_ConsumerCount_224_NofResPorts_2,21838.0,-21.891
schnizo_res_stat_synth_NofConstants_8_NofOperands_3_NofResRspIfs_2_ConsumerCount_28_NofResPorts_2_HasTwoDests_True,3727.0,-8.251
schnizo_res_stat_synth_NofRsrs_8_NofConstants_8_NofOperands_3_NofResRspIfs_2_ConsumerCount_28_NofResPorts_2_HasTwoDests_True,4426.0,-9.942
schnizo_res_stat_synth_NofRss_8_NofRsrs_8_NofConstants_16_NofOperands_3_NofResRspIfs_2_ConsumerCount_56_NofResPorts_2_HasTwoDests_True,6148.0,-10.024
schnizo_res_stat_synth_NofRss_8_NofRsrs_16_NofConstants_16_NofOperands_3_NofResRspIfs_2_ConsumerCount_56_NofResPorts_2_HasTwoDests_True,8678.0,-13.498
schnizo_res_stat_synth_NofRss_16_NofRsrs_16_NofConstants_32_NofOperands_3_NofResRspIfs_2_ConsumerCount_112_NofResPorts_2_HasTwoDests_True,11004.0,-14.472
schnizo_res_stat_synth_NofRss_16_NofRsrs_32_NofConstants_32_NofOperands_3_NofResRspIfs_2_ConsumerCount_112_NofResPorts_2_HasTwoDests_True,18526.0,-29.211
schnizo_res_stat_synth_NofRss_32_NofRsrs_32_NofConstants_64_NofOperands_3_NofResRspIfs_2_ConsumerCount_224_NofResPorts_2_HasTwoDests_True,25537.0,-35557.117
schnizo_res_stat_synth_NofRss_32_NofRsrs_64_NofConstants_64_NofOperands_3_NofResRspIfs_2_ConsumerCount_224_NofResPorts_2_HasTwoDests_True,37742.0,-40969700.0
